City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Vrable,SK,48.2437,18.3085,66.52,67,69,11.88,broken clouds
327,Janakpur,NP,26.7183,85.9065,88.77,58,48,10.89,scattered clouds
328,Matay,EG,28.419,30.7792,105.6,11,0,14.18,clear sky
329,Starobaltachevo,RU,56.0013,55.9213,52.02,67,100,9.1,overcast clouds
330,Mayo,US,38.8876,-76.5119,71.37,56,20,8.99,few clouds
331,Pangnirtung,CA,66.1451,-65.7125,33.4,94,41,2.15,scattered clouds
332,The Pas,CA,53.8251,-101.2541,66.92,31,100,7.99,overcast clouds
333,Yulara,AU,-25.2406,130.9889,60.64,36,90,1.14,overcast clouds
334,Limbang,MY,4.75,115.0,82.51,95,100,1.05,overcast clouds
335,Cayenne,GF,4.9333,-52.3333,80.1,88,75,3.0,moderate rain
336,Xuddur,SO,4.1213,43.8894,82.65,49,100,10.78,overcast clouds
337,Bergerac,FR,44.8333,0.5,84.78,37,0,4.61,clear sky
338,Zhaotong,CN,27.3167,103.7167,60.17,90,74,4.45,moderate rain
339,Sisimiut,GL,66.9395,-53.6735,34.59,95,100,8.72,overcast clouds
340,Shiyan,CN,32.6475,110.7781,74.46,78,100,2.06,light rain
341,Deputatskiy,RU,69.3,139.9,50.54,53,90,3.47,overcast clouds
342,Varkaus,FI,62.3153,27.873,54.3,72,81,5.12,broken clouds
343,Yuxia,CN,34.0615,108.6291,68.61,72,100,5.66,overcast clouds
344,Nouakchott,MR,18.0858,-15.9785,80.53,65,42,19.17,scattered clouds
